ID;Genre;Senior;Enfants;Anciennete;Multi-lignes;Service Internet;Autres Services;Contrat;Facturation electronique;Partenaire;Mode de paiement;charges mensuelles;Charges totales;Desabonnement
8;Femme;0;Non;10;Non;DSL;Non;Mensuel;Non;Non;Cheque papier;29,75;301,9;
9;Femme;0;Non;28;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque electronique;104,8;3046,05;
25;Homme;0;Oui;49;Non;DSL;Oui;Mensuel;Non;Oui;Carte bancaire;59,6;2970,3;
27;Homme;0;Oui;47;Oui;Fibre optique;Oui;Mensuel;Oui;Oui;Cheque electronique;99,35;4749,15;
48;Femme;0;Non;2;Non;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;80,65;144,15;
62;Homme;0;Non;60;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Virement bancaire;89,9;5450,7;
86;Homme;0;Non;9;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Carte bancaire;99,3;918,75;
90;Homme;0;Non;29;Non;DSL;Non;Mensuel;Non;Oui;Cheque papier;33,75;1009,25;
91;Homme;0;Oui;30;Non;Fibre optique;Oui;Mensuel;Non;Oui;Virement bancaire;82,05;2570,2;
107;Femme;0;Oui;72;Oui;Fibre optique;Oui;Annuel;Oui;Oui;Cheque electronique;104,15;7303,05;
115;Femme;0;Oui;64;Non;DSL;Non;Bisannuel;Oui;Oui;Cheque electronique;54,6;3423,5;
116;Homme;0;Oui;3;Non;Fibre optique;Oui;Mensuel;Non;Oui;Cheque electronique;89,85;248,4;
119;Femme;0;Non;41;Non;Non;Oui;Bisannuel;Non;Non;Cheque papier;20,65;835,15;
126;Homme;0;Non;33;Non;Fibre optique;Oui;Bisannuel;Oui;Non;Cheque electronique;88,95;3027,65;
127;Femme;1;Non;27;Oui;Fibre optique;Oui;Mensuel;Oui;Non;Cheque electronique;78,05;2135,5;
136;Femme;0;Non;43;Oui;Non;Oui;Bisannuel;Oui;Non;Carte bancaire;25,7;1188,2;
141;Femme;1;Oui;72;Oui;DSL;Oui;Bisannuel;Oui;Oui;Carte bancaire;88,05;6425,65;
144;Homme;0;Non;64;Oui;Fibre optique;Oui;Annuel;Oui;Non;Carte bancaire;84,3;5289,05;
